date,PortfolioValue
2007-01-22,1.0
2007-01-23,0.9999924968243737
2007-01-24,0.9999861396176214
2007-01-25,0.9999448265153398
2007-01-26,0.9999319273299405
2007-01-29,0.9999472862799813
2007-01-30,0.999947642485169
2007-01-31,0.9999072497846556
2007-02-01,0.999927327125996
2007-02-02,0.9998779617345922
2007-02-05,0.9998839204372231
2007-02-06,1.0000061676106566
2007-02-07,1.000058364747753
2007-02-08,1.000068521195977
2007-02-09,1.0000196500075373
2007-02-12,0.9999494623104647
2007-02-13,0.9999569232049353
2007-02-14,1.0000725948929392
2007-02-15,1.0002707806583764
2007-02-16,1.0004667104011002
2007-02-26,1.000707443325251
2007-02-27,1.0004032869985433
2007-02-28,1.000590668454998
2007-03-01,1.0005130384805068
2007-03-02,1.0004662297371656
2007-03-05,1.0002475728612674
2007-03-06,1.0002392751729263
2007-03-07,1.0004961712003069
2007-03-08,1.00039324369771
2007-03-09,1.0005529593310847
2007-03-12,1.0006211306201218
2007-03-13,1.00077995377855
2007-03-14,1.000843321780643
2007-03-15,1.0007488357864047
2007-03-16,1.000666288888294
2007-03-19,1.0008626185411886
2007-03-20,1.001275640404451
2007-03-21,1.0013676061671284
2007-03-22,1.0013728796985815
2007-03-23,1.0016422326834504
2007-03-26,1.0022440970208149
2007-03-27,1.0026290610599569
2007-03-28,1.0024831010754063
2007-03-29,1.0019791309508193
2007-03-30,1.0023494630943977
2007-04-02,1.0026025250806607
2007-04-03,1.0028643714269967
2007-04-04,1.003070711403586
2007-04-05,1.0032664036905286
2007-04-06,1.003881453725203
2007-04-09,1.0043564728189671
2007-04-10,1.0044649537558674
2007-04-11,1.0049084854966412
2007-04-12,1.0042070342404463
2007-04-13,1.007947555858528
2007-04-16,1.0079211749168757
2007-04-17,1.0083266321648983
2007-04-18,1.0086731642925892
2007-04-19,1.008554700160236
2007-04-20,1.0094752609214657
2007-04-23,1.010494377393792
2007-04-24,1.0105666161398061
2007-04-25,1.0102774279465563
2007-04-26,1.0095242649257892
2007-04-27,1.008776707626193
2007-04-30,1.0093686050626582
2007-05-03,1.0093582133760683
2007-05-04,1.009347821689479
2007-05-08,1.0109375654779253
2007-05-09,1.0119984188674775
2007-05-10,1.0128793237746812
2007-05-11,1.0119797600417297
2007-05-14,1.0121733125057961
2007-05-15,1.01115198191709
2007-05-16,1.011592698579852
2007-05-17,1.0120970972794305
2007-05-18,1.010805439323873
2007-05-21,1.0111417352919763
2007-05-22,1.0110526803066129
2007-05-23,1.0117886749981253
2007-05-24,1.0121374912816077
2007-05-25,1.0134796796441907
2007-05-28,1.0148073761564258
2007-05-29,1.0154342038044497
2007-05-30,1.013196819433089
2007-05-31,1.011294737630277
2007-06-01,1.0092152103011522
2007-06-04,1.0058277423422284
2007-06-05,1.0053777725371622
2007-06-06,1.0063425284288745
2007-06-07,1.0072301020438825
2007-06-08,1.0072812817114531
2007-06-11,1.007095796845362
2007-06-12,1.0098238648295637
2007-06-13,1.0120666827187492
2007-06-14,1.0114170160322287
2007-06-15,1.0115426840427801
2007-06-18,1.0128585957480363
2007-06-19,1.0139473343858514
2007-06-20,1.013629604192274
2007-06-21,1.0124836987153973
2007-06-22,1.0084389970641254
2007-06-25,1.0052015594672035
2007-06-26,1.0049540524272196
2007-06-27,1.0055399248480024
2007-06-28,1.0012971477240806
2007-06-29,0.9988525199057433
2007-07-02,0.9988707950823192
2007-07-03,0.9986756206732303
2007-07-04,0.9978275040321257
2007-07-05,0.9956330901644289
2007-07-06,0.9982732077098166
2007-07-09,0.9997885563142168
2007-07-10,0.9983568623035264
2007-07-11,0.9978017890502645
2007-07-12,0.9983356824767028
2007-07-13,0.9977150118416221
2007-07-16,0.9968593488444718
2007-07-17,0.9982848227864547
2007-07-18,0.9984058630645837
2007-07-19,0.9981904500545807
2007-07-20,1.0007483814390128
2007-07-23,1.0032532079474918
2007-07-24,1.0036712041398614
2007-07-25,1.0054093743051629
2007-07-26,1.0070466736256043
2007-07-27,1.009266273764503
2007-07-30,1.009031695388996
2007-07-31,1.011945043348891
2007-08-01,1.0100984470070142
2007-08-02,1.0137902166351354
2007-08-03,1.0153931869431156
2007-08-06,1.0162483036640815
2007-08-07,1.0161638658986236
2007-08-08,1.0147944163035358
2007-08-09,1.017670855666416
2007-08-10,1.0160244480883176
2007-08-13,1.0136426414297406
2007-08-14,1.0150456475790373
2007-08-15,1.014485965874752
2007-08-16,1.0151310745682607
2007-08-17,1.0132381829262955
2007-08-20,1.0145954409671252
2007-08-21,1.0155223272824736
2007-08-22,1.0158648935438332
2007-08-23,1.0153640599526437
2007-08-24,1.0164313439816168
2007-08-27,1.0257402694595699
2007-08-28,1.0276540177814
2007-08-29,1.02670360414999
2007-08-30,1.0276680568466345
2007-08-31,1.0284963994211973
2007-09-03,1.0284623667563375
2007-09-04,1.0269135520837358
2007-09-05,1.0292906570672282
2007-09-06,1.0301875982711257
2007-09-07,1.0256397424463777
2007-09-10,1.0245714375527821
2007-09-11,1.0175508207637227
2007-09-12,1.0181858479974142
2007-09-13,1.0214580351004505
2007-09-14,1.023973450279858
2007-09-17,1.0241024250604625
2007-09-18,1.028491462099749
2007-09-19,1.0275667272037523
2007-09-20,1.0305253568719308
2007-09-21,1.0331773665320918
2007-09-24,1.0369760617456825
2007-09-25,1.0352210394777086
2007-09-26,1.0301593870127368
2007-09-27,1.0309212646654171
2007-09-28,1.034209990493414
2007-10-08,1.036902877636225
2007-10-09,1.0407373731498804
2007-10-10,1.0409085473651292
2007-10-11,1.039410301034398
2007-10-12,1.042964878167269
