Date,PortfolioValue
2007-03-13,0.0
2007-03-14,-0.0002784277252608179
2007-03-15,0.01129378986498094
2007-03-16,0.003308711893162208
2007-03-19,0.009243802053804116
2007-03-20,0.019841146223681463
2007-03-21,0.02911413448753002
2007-03-22,0.03653213233645916
2007-03-23,0.04206282048233685
2007-03-26,0.052074121331088644
2007-03-27,0.05754652697584381
2007-03-28,0.05358263340380365
2007-03-29,0.05068945762363626
2007-03-30,0.05264639199384573
2007-04-02,0.062057454609172724
2007-04-03,0.06978041970459127
2007-04-04,0.07518388934145265
2007-04-05,0.08320309240770503
2007-04-06,0.08832406869563757
2007-04-09,0.09466152724614639
2007-04-10,0.09813120143615389
2007-04-11,0.10576323185722943
2007-04-12,0.11951374739038302
2007-04-13,0.1238607231737426
2007-04-16,0.14144508757556626
2007-04-17,0.15652128337048096
2007-04-18,0.16892179710487507
2007-04-19,0.14671508051314955
2007-04-20,0.1691155080368756
2007-04-23,0.1869192041582021
2007-04-24,0.18810471806223258
2007-04-25,0.18815160768052785
2007-04-26,0.19732529633333265
2007-04-27,0.19484576129459438
2007-04-30,0.20586592621338773
2007-05-03,0.20511402756647504
2007-05-04,0.20436212891956235
2007-05-08,0.22327714229721904
2007-05-09,0.2267682991217291
2007-05-10,0.23384548905615912
2007-05-11,0.23471472636947605
2007-05-14,0.23940774600896064
2007-05-15,0.23019880279418362
2007-05-16,0.24327091412921617
2007-05-17,0.2561509446342394
2007-05-18,0.25897979941838634
2007-05-21,0.270342951207615
2007-05-22,0.2794309689037967
2007-05-23,0.2903362861180792
2007-05-24,0.2882776855197378
2007-05-25,0.2928293236341796
2007-05-28,0.3009449089370482
2007-05-29,0.306623302485514
2007-05-30,0.27600573885039537
2007-05-31,0.26182251282694347
2007-06-01,0.23793750069868758
2007-06-04,0.20179265328461288
2007-06-05,0.20372110493202591
2007-06-06,0.2070236318831121
2007-06-07,0.22292721487008368
2007-06-08,0.2329556993351908
2007-06-11,0.2406391665126286
2007-06-12,0.24775236969431116
2007-06-13,0.26291334749716566
2007-06-14,0.25632725759769837
2007-06-15,0.2530105062808529
2007-06-18,0.264066383813522
2007-06-19,0.26880145827468793
2007-06-20,0.2577719588066505
2007-06-21,0.2561943317467059
2007-06-22,0.2377885609376482
2007-06-25,0.21717820831288298
2007-06-26,0.22132226504561725
2007-06-27,0.2274792796894344
2007-06-28,0.20794730393275804
2007-06-29,0.19906079937810545
2007-07-02,0.19803356369389208
2007-07-03,0.19963374024681918
2007-07-04,0.19074744225008786
2007-07-05,0.1744935577787723
2007-07-06,0.19724802226931204
2007-07-09,0.2098019246310368
2007-07-10,0.19768007382170427
2007-07-11,0.20054468180653082
2007-07-12,0.20301275032367266
2007-07-13,0.2020365334488632
2007-07-16,0.19073184869025608
2007-07-17,0.19805833612803894
2007-07-18,0.1984976034633728
2007-07-19,0.20038406207932977
2007-07-20,0.21284360871258515
2007-07-23,0.23287589847135132
2007-07-24,0.23140707801239035
2007-07-25,0.24103965325869547
2007-07-26,0.24753893403793967
2007-07-27,0.25382338657815223
2007-07-30,0.2618397815926718
2007-07-31,0.2667688080593875
2007-08-01,0.24899383333604572
2007-08-02,0.26040436198870137
2007-08-03,0.2664133351955228
2007-08-06,0.2735073298749261
2007-08-07,0.27387500670041576
2007-08-08,0.2684738721158538
2007-08-09,0.27250290974774266
2007-08-10,0.26467853209157516
2007-08-13,0.2653237613218089
2007-08-14,0.27494591105409116
2007-08-15,0.2748075968062739
2007-08-16,0.2750038038999499
2007-08-17,0.27108969308281733
2007-08-20,0.2876766283033525
2007-08-21,0.2930579708914117
2007-08-22,0.3002415104361334
2007-08-23,0.30702119334502015
2007-08-24,0.3105617131898351
2007-08-27,0.3146169388668021
2007-08-28,0.31686054577734435
2007-08-29,0.3148206990836803
2007-08-30,0.329678468484449
2007-08-31,0.33345722714451453
2007-09-03,0.34271861292806194
2007-09-04,0.3383993025610074
2007-09-05,0.3438050189384372
2007-09-06,0.3487335025889741
2007-09-07,0.3409529534467728
2007-09-10,0.34787325723088497
2007-09-11,0.3252596807963701
2007-09-12,0.3278692029771243
2007-09-13,0.33452017301082
2007-09-14,0.34043694744316516
2007-09-17,0.34647692467346547
2007-09-18,0.3456385180313998
2007-09-19,0.3390363480631569
2007-09-20,0.3431697624637903
2007-09-21,0.3384105022329974
2007-09-24,0.336258022998869
2007-09-25,0.3333363484686465
2007-09-26,0.32813371771805167
2007-09-27,0.3311404573137174
2007-09-28,0.337536898501289
2007-10-08,0.3341156678016265
2007-10-09,0.3359837992038236
2007-10-10,0.3343815058417008
2007-10-11,0.32940244541322233
2007-10-12,0.31929050959432237
2007-10-15,0.3207048522029887
2007-10-16,0.32744006498607015
2007-10-17,0.32962657652608746
